epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds,error,auc_2000_2005,auc_2005_2010,auc_2010_2015,auc_2015_2020
5,40,5,10,64,15,0.698340473945473,0.008957789035832173,0.6836444347428138,0.7064546407855173,4,702.679404258728,,0.7045889550536456,0.6836444347428138,0.6986738651999153,0.7064546407855173
5,20,10,10,128,10,0.6970901521991036,0.008977386209844243,0.6823681206452132,0.7055397203462719,4,422.43346309661865,,0.7029253224994957,0.6823681206452132,0.6975274453054341,0.7055397203462719
5,30,3,20,128,5,0.7002649664150673,0.009108711562105685,0.6853925441236062,0.7086503959659862,4,321.3980174064636,,0.7066172884727687,0.6853925441236062,0.7003996370979082,0.7086503959659862
5,20,3,15,128,10,0.6976074261168855,0.008794416920782313,0.6830987593291119,0.7052319678523564,4,236.37327194213867,,0.7039680874852654,0.6830987593291119,0.6981308898008083,0.7052319678523564
5,20,5,20,128,5,0.6984216331769286,0.009019473515073855,0.6836306575625091,0.706839885006917,4,325.0882058143616,,0.7043880923912439,0.6836306575625091,0.6988278977470443,0.706839885006917
5,30,7,10,128,5,0.6976936804894054,0.008983184011169614,0.6829523454980166,0.7061012013576777,4,344.12892270088196,,0.7035752159566816,0.6829523454980166,0.6981459591452454,0.7061012013576777
5,20,3,15,128,15,0.69784489236056,0.008878530812776664,0.6832905018992701,0.7058462615240639,4,312.11613178253174,,0.7041205698369838,0.6832905018992701,0.6981222361819219,0.7058462615240639
5,40,5,10,128,5,0.6983875132144975,0.009014468799850696,0.6836259356289938,0.7067383971776752,4,352.0704221725464,,0.704495674077142,0.6836259356289938,0.6986900459741792,0.7067383971776752
5,30,3,20,128,10,0.6999443398655006,0.00903043385739309,0.6852030149420842,0.7081832747727376,4,495.30747961997986,,0.706347335608593,0.6852030149420842,0.7000437341385879,0.7081832747727376
5,20,3,20,32,5,0.6982062084487186,0.00891578082387752,0.6836178505490612,0.7063264748674918,4,223.17826914787292,,0.7044641237444486,0.6836178505490612,0.6984163846338729,0.7063264748674918
5,20,5,20,128,10,0.6983345616028589,0.008969049550844715,0.6836397515284427,0.7066159306481667,4,506.3872163295746,,0.7044301201257963,0.6836397515284427,0.6986524441090296,0.7066159306481667
5,20,10,10,128,15,0.696792260657576,0.0089426581030017,0.682104457676447,0.7050239009425675,4,574.0158553123474,,0.7028088953236998,0.682104457676447,0.6972317886875901,0.7050239009425675
5,30,7,10,128,10,0.697695081449461,0.009035165251605873,0.6828456496183899,0.7060345151773255,4,551.8183133602142,,0.7037154942346995,0.6828456496183899,0.6981846667674291,0.7060345151773255
