epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds
3,30,3,10,64,15,0.6972043127266584,0.008677583024718433,0.6828435056487516,0.7044913172322312,4,144.58224940299988
3,30,3,10,128,5,0.6975305381623012,0.008649877341660946,0.6832109857390642,0.7048368625429036,4,75.31283640861511
3,30,3,10,128,10,0.696846156135075,0.008711412723260772,0.6822792074980046,0.7037687205085328,4,110.0199282169342
3,30,3,10,128,15,0.6973169124001677,0.008860362402335672,0.6826491043039492,0.7047864889615,4,145.44055938720703
3,30,3,15,32,5,0.6975201631906105,0.008894424927841428,0.6828849022192918,0.7056219196724867,4,111.2486412525177
3,30,3,15,32,10,0.697180764912162,0.008948566919484363,0.6824024206324852,0.7048644339684164,4,163.54955768585205
3,30,3,15,32,15,0.697590316907897,0.008983155745601358,0.6828471099660092,0.7057307840597928,4,215.79474878311157
3,30,3,15,64,5,0.6973158892914127,0.008919813560494566,0.6826607789755077,0.7052166822050006,4,111.8375015258789
3,30,3,15,64,10,0.6973925578465305,0.008902251281999346,0.6827973008890491,0.7054539084118244,4,162.58654880523682
3,30,3,15,64,15,0.6974573948342885,0.008636846148313133,0.6831233236141011,0.7046282758703225,4,214.12117457389832
3,30,3,15,128,5,0.6974520908354263,0.008645275467074942,0.68310176924057,0.7046008933949583,4,112.02260088920593
3,30,3,15,128,10,0.6974168802239695,0.00884652196622386,0.6828326811507444,0.7051047738098961,4,166.41932153701782
3,30,3,15,128,15,0.6976001952373984,0.00871414649335525,0.683197245926338,0.7051048869434128,4,216.89515709877014
3,30,3,20,32,5,0.697640285991552,0.008913209263372038,0.6830384146030799,0.7057370692731688,4,148.80130791664124
3,30,3,20,32,10,0.6980489373540176,0.008975751488022881,0.6833719473489653,0.7062807103021327,4,217.35173344612122
3,30,3,20,32,15,0.6982394375372397,0.008932954921618221,0.6836336124845442,0.7063617634182782,4,285.6005644798279
3,30,3,20,64,5,0.6977447245212463,0.008917673618080461,0.6831225648064031,0.7058009425900391,4,147.40684986114502
3,30,3,20,64,10,0.6976882974613817,0.00866243054358185,0.6833898836964992,0.7049900569586883,4,216.90124535560608
3,30,3,20,64,15,0.6980853382480244,0.008962277104184537,0.683417797161725,0.7062374823289206,4,286.88278698921204
3,30,3,20,128,5,0.697871705542187,0.008750150921954376,0.6834363277734659,0.7052850694714097,4,148.20308923721313
3,30,3,20,128,10,0.6984097064019639,0.00889026346206948,0.6838262414630911,0.7063845440071808,4,218.19663095474243
3,30,3,20,128,15,0.6981372385958933,0.008982415374838579,0.6834129464819062,0.7062234501108378,4,288.0431160926819
3,30,3,30,32,5,0.6993798609824642,0.009046557108970404,0.6845882475452438,0.707561582344037,4,220.25548195838928
3,30,3,30,32,10,0.6994854598195821,0.00905103088337612,0.6847049986244541,0.7076719896702902,4,321.5667905807495
3,30,3,30,32,15,0.6992083643969521,0.00903289876090993,0.6844580050968593,0.7073990762879814,4,427.08971643447876
3,30,3,30,64,5,0.6993544503723655,0.009085089961799707,0.6845280434721672,0.7076554610611853,4,220.43614554405212
3,30,3,30,64,10,0.6993992580382968,0.008846379862193785,0.6848189525672909,0.7068118789037017,4,327.7029838562012
3,30,3,30,64,15,0.6995141349916533,0.009069842127746803,0.6846895249715359,0.7077383341167742,4,425.55656027793884
3,30,3,30,128,5,0.6996745650126122,0.00904170093506766,0.6849005309595799,0.7078653299406281,4,220.37810349464417
3,30,3,30,128,10,0.6998867199367245,0.00906385905082568,0.6850759437821232,0.7081499041121404,4,326.02592611312866
3,30,3,30,128,15,0.6995636567143033,0.00903647307225846,0.6847981477207055,0.7078163334057417,4,431.67771339416504
3,30,5,10,32,5,0.6973977892188984,0.008824511878156388,0.6828762645033813,0.7053511499612929,4,118.2796585559845
3,30,5,10,32,10,0.6972945858332837,0.00886561396399351,0.6826334845403242,0.7049117732479766,4,174.58478116989136
3,30,5,10,32,15,0.6970750469914129,0.00887020467267525,0.6824095415053232,0.7044972243994774,4,230.88177371025085
3,30,5,10,64,5,0.6970755782735435,0.008778314611353864,0.6825038913970578,0.7041909599143135,4,119.12744140625
3,30,5,10,64,10,0.6976074320255317,0.008897068089786268,0.6829631539831863,0.7055174543188067,4,175.20217323303223
3,30,5,10,64,15,0.6972884214001492,0.008858162514423592,0.6826512756524508,0.7050081515644591,4,231.71068596839905
3,30,5,10,128,5,0.697209434790746,0.008856880662407885,0.6825913149770801,0.7048494714531988,4,120.16181874275208
3,30,5,10,128,10,0.6973983469316537,0.008765892698467429,0.6830072732381284,0.7052494514204711,4,175.67865014076233
3,30,5,10,128,15,0.6975057638075253,0.008869469311999955,0.6829151402362291,0.7053306526699035,4,230.40626120567322
3,30,5,15,32,5,0.6975051954810612,0.008876918681754224,0.6829217400353704,0.7055345911461416,4,176.57372331619263
3,30,5,15,32,10,0.6977023128155404,0.008967958688007248,0.6830278860851272,0.7059234481864207,4,261.14911913871765
3,30,5,15,32,15,0.6975727137796375,0.008883030468420672,0.6829627804747388,0.7054787991952097,4,346.6026859283447
3,30,5,15,64,5,0.6975322842694844,0.008881382118839543,0.6829418336751205,0.7055473752821388,4,177.11410927772522
3,30,5,15,64,10,0.6975427095886391,0.008948914562806023,0.6828744693020987,0.7056865252947355,4,260.1574294567108
3,30,5,15,64,15,0.6971657145330267,0.008660944208473331,0.682836177780382,0.7044670652432642,4,344.87467193603516
3,30,5,15,128,5,0.6975800839714932,0.008577214424298815,0.6833670990376048,0.7047218947303799,4,177.9922251701355
3,30,5,15,128,10,0.6977028506796159,0.00870060179085655,0.6833452926420904,0.7052284705489225,4,263.6232662200928
3,30,5,15,128,15,0.6975762960141777,0.008766334320469504,0.6831244317951417,0.7051706155397724,4,347.0446331501007
3,30,5,20,32,5,0.6982013044285096,0.008937232187569184,0.6835720311658416,0.706350002442232,4,234.47326588630676
3,30,5,20,32,10,0.6982942185479915,0.008961681520928327,0.6836395728256901,0.7064647618926974,4,347.82690167427063
3,30,5,20,32,15,0.6980632059965313,0.008936386050958556,0.6834359919930144,0.7062077094988755,4,458.0067386627197
3,30,5,20,64,5,0.6979277472802242,0.008983317059999406,0.6831674296108257,0.7058286990444301,4,236.09501028060913
3,30,5,20,64,10,0.6979098152863892,0.008750064472254342,0.6834856183125243,0.7054338548559486,4,347.4476628303528
3,30,5,20,64,15,0.6980574779822634,0.008915013904159757,0.6834572421226311,0.7061851566191265,4,9242.529580116272
3,30,5,20,128,5,0.6983883507493055,0.008916313323445647,0.683790421800894,0.7065805290772889,4,252.42243361473083
3,30,5,20,128,10,0.6982021635634871,0.0088935584990975,0.6836171081017464,0.7062231313050598,4,349.77003026008606
3,30,5,20,128,15,0.6983790564610526,0.009038001054152733,0.683568835472,0.7065981308344426,4,455.99388098716736
3,30,5,30,32,5,0.6993408061663944,0.009026124672776671,0.6845662527800626,0.7074957053227257,4,350.11051630973816
3,30,5,30,32,10,0.6989879658609215,0.009069816634117909,0.6841626281754768,0.7072305501094027,4,521.0323967933655
3,30,5,30,32,15,0.6990968342105086,0.009028203739990715,0.6843176362792938,0.7072814414929629,4,685.8589763641357
3,30,5,30,64,5,0.6990338666585989,0.009034489725208978,0.6842362620635563,0.7072072943338041,4,350.20931005477905
3,30,5,30,64,10,0.698917488865449,0.008983829200390682,0.6841911484937804,0.7069507904965671,4,519.2717337608337
3,30,5,30,64,15,0.6989297370834542,0.009041578268920172,0.6841254174945538,0.7071383237378905,4,685.5498895645142
3,30,5,30,128,5,0.6994779730386109,0.009021570190630898,0.684727272661761,0.7077068626798225,4,351.50445795059204
3,30,5,30,128,10,0.6992192116146765,0.00901813951197696,0.6844514459476707,0.7074190791265975,4,520.844562292099
3,30,5,30,128,15,0.6989991359987099,0.008981721272883686,0.6842971664794527,0.7072320881872702,4,689.8881003856659
3,30,7,10,32,5,0.6975358033250443,0.008921715878597912,0.6828602249433957,0.7055866965518263,4,158.57910680770874
3,30,7,10,32,10,0.6970835698283977,0.008738629747304796,0.6826256953117253,0.704488899525878,4,235.71277475357056
3,30,7,10,32,15,0.6974139272064819,0.008804987961220416,0.6829731386567752,0.7053580065945292,4,309.37291431427
3,30,7,10,64,5,0.6971053644892138,0.008822750811794492,0.6825256781111986,0.704638139081047,4,158.7354600429535
3,30,7,10,64,10,0.6970892488742866,0.00888739284420923,0.6823745895226733,0.7047059778556857,4,234.2942361831665
3,30,7,10,64,15,0.6969642967892741,0.008814886521947536,0.6823263231744903,0.7042039641275698,4,310.29397320747375
3,30,7,10,128,5,0.6974849190290281,0.008649660009548544,0.6831797195666582,0.7049399666485737,4,159.65599751472473
3,30,7,10,128,10,0.6972295616251815,0.00865938835350917,0.6828977307290733,0.7046356721481649,4,234.7637505531311
3,30,7,10,128,15,0.6972253040251484,0.008756831456076196,0.6827928253009404,0.7048624767196888,4,307.5973970890045
3,30,7,15,32,5,0.6977668591983531,0.008921773955009364,0.6831196676155388,0.7058463689701179,4,236.60786724090576
3,30,7,15,32,10,0.6977571071572691,0.008975166889790822,0.6830631179191454,0.7059764384057422,4,349.1257600784302
3,30,7,15,32,15,0.6977679727994839,0.00895201007457027,0.6831004456070571,0.70596929950584,4,460.71920371055603
3,30,7,15,64,5,0.6975919947894471,0.008876606537421733,0.6829977205507369,0.7055195237612422,4,237.07525992393494
3,30,7,15,64,10,0.6976548149601398,0.008931329866646787,0.6830097603381622,0.7057759458513306,4,350.456006526947
3,30,7,15,64,15,0.6972424449895077,0.008918295426008924,0.6825464860213333,0.7049666195731707,4,462.0459930896759
3,30,7,15,128,5,0.6978696930204867,0.008939029910704584,0.6832182952776262,0.7060906262905146,4,238.42440485954285
3,30,7,15,128,10,0.6977750881393538,0.008944533494115314,0.6831146007624125,0.7060060195634343,4,351.3816134929657
3,30,7,15,128,15,0.6977156368722796,0.008985290496660024,0.6829953859073338,0.7060179786932723,4,464.2951545715332
3,30,7,20,32,5,0.698077443481989,0.008960979996133218,0.6834275381158068,0.7063158417914499,4,314.27882146835327
3,30,7,20,32,10,0.6981398116772588,0.008947729189917295,0.6834806641413756,0.7063097128131597,4,465.1268165111542
3,30,7,20,32,15,0.6980583855436989,0.008969732222555716,0.6833820991533287,0.7063227630446326,4,617.7738020420074
